generator,run,connectivity,longest_path,avg_path,rect_rooms,prefab_rooms,bfs_rooms
bfs,37,1.0,29,19.011111111111113,0,0,1
bfs,38,1.0,29,19.455555555555556,0,0,1
bfs,39,1.0,29,19.011111111111113,0,0,1
bfs,40,1.0,29,19.011111111111113,0,0,1
bfs,41,1.0,29,19.446666666666665,0,0,1
bfs,42,1.0,29,19.43777777777778,0,0,1
bfs,43,1.0,29,19.442222222222224,0,0,1
bfs,44,1.0,29,19.011111111111113,0,0,1
bfs,45,1.0,29,19.011111111111113,0,0,1
bfs,46,1.0,29,19.43777777777778,0,0,1
bfs,47,1.0,29,19.477777777777778,0,0,1
bfs,48,1.0,29,19.477777777777778,0,0,1
bfs,49,1.0,29,19.477777777777778,0,0,1
bfs,50,1.0,29,19.011111111111113,0,0,1
bfs,51,1.0,29,19.477777777777778,0,0,1
bfs,52,1.0,29,19.477777777777778,0,0,1
bfs,53,1.0,29,19.011111111111113,0,0,1
bfs,54,1.0,29,19.011111111111113,0,0,1
bfs,55,1.0,29,19.011111111111113,0,0,1
bfs,56,1.0,29,19.477777777777778,0,0,1
bfs,57,1.0,29,19.446666666666665,0,0,1
bfs,58,1.0,29,19.477777777777778,0,0,1
bfs,59,1.0,29,19.442222222222224,0,0,1
bfs,60,1.0,29,19.477777777777778,0,0,1
bfs,61,1.0,29,19.011111111111113,0,0,1
bfs,62,1.0,29,19.477777777777778,0,0,1
bfs,63,1.0,29,19.011111111111113,0,0,1
bfs,64,1.0,29,19.446666666666665,0,0,1
bfs,65,1.0,29,19.011111111111113,0,0,1
bfs,66,1.0,29,19.477777777777778,0,0,1
bfs,67,1.0,29,19.455555555555556,0,0,1
bfs,68,1.0,29,19.011111111111113,0,0,1
bfs,69,1.0,29,19.011111111111113,0,0,1
bfs,70,1.0,29,19.477777777777778,0,0,1
bfs,71,1.0,29,19.011111111111113,0,0,1
bfs,72,1.0,29,19.011111111111113,0,0,1
bfs,73,1.0,29,19.477777777777778,0,0,1
bfs,74,1.0,29,19.442222222222224,0,0,1
bfs,75,1.0,29,19.011111111111113,0,0,1
bfs,76,1.0,29,19.011111111111113,0,0,1
bfs,77,1.0,29,19.477777777777778,0,0,1
bfs,78,1.0,29,19.45111111111111,0,0,1
bfs,79,1.0,29,19.011111111111113,0,0,1
bfs,80,1.0,29,19.011111111111113,0,0,1
bfs,81,1.0,29,19.011111111111113,0,0,1
bfs,82,1.0,29,19.011111111111113,0,0,1
bfs,83,1.0,29,19.455555555555556,0,0,1
bfs,84,1.0,29,19.477777777777778,0,0,1
bfs,85,1.0,29,19.477777777777778,0,0,1
bfs,86,1.0,29,19.477777777777778,0,0,1
bfs,87,1.0,29,19.477777777777778,0,0,1
bfs,88,1.0,29,19.455555555555556,0,0,1
bfs,89,1.0,29,19.477777777777778,0,0,1
bfs,90,1.0,29,19.477777777777778,0,0,1
bfs,91,1.0,29,19.011111111111113,0,0,1
bfs,92,1.0,29,19.011111111111113,0,0,1
bfs,93,1.0,29,19.011111111111113,0,0,1
bfs,94,1.0,29,19.446666666666665,0,0,1
bfs,95,1.0,29,19.45111111111111,0,0,1
bfs,96,1.0,29,19.011111111111113,0,0,1
bfs,97,1.0,29,19.011111111111113,0,0,1
bfs,98,1.0,29,19.011111111111113,0,0,1
bfs,99,1.0,29,19.442222222222224,0,0,1
hybrid,0,0.8793859649122807,36,17.788029925187033,8,7,1
hybrid,1,0.958029197080292,46,23.236190476190476,12,2,1
hybrid,2,0.9196428571428571,54,30.94757281553398,10,5,1
hybrid,3,0.97953216374269,65,35.7955223880597,11,3,1
hybrid,4,0.9502487562189055,69,23.092495636998255,6,8,1
hybrid,5,0.9621087314662273,57,31.046232876712327,10,5,1
hybrid,6,0.9362831858407079,43,29.98109640831758,12,3,1
hybrid,7,0.9495495495495495,56,22.81404174573055,11,3,1
hybrid,8,0.9922239502332815,54,28.66614420062696,10,4,1
hybrid,9,0.9721362229102167,64,27.178343949044585,12,2,1
hybrid,10,0.9593220338983051,84,34.881625441696116,7,7,1
hybrid,11,0.9594356261022927,46,22.196691176470587,11,3,1
hybrid,12,0.9681050656660413,57,31.955426356589147,9,5,1
hybrid,13,0.9222042139384117,48,23.75219683655536,10,4,1
hybrid,14,0.978021978021978,46,24.382022471910112,11,3,1
hybrid,15,0.9552238805970149,48,22.55859375,9,6,1
hybrid,16,0.9510763209393346,52,21.596707818930042,10,5,1
hybrid,17,0.9597197898423818,50,20.021897810218977,8,6,1
hybrid,18,0.9619834710743802,54,32.623711340206185,9,5,1
hybrid,19,0.9379432624113475,53,23.92249527410208,9,6,1
hybrid,20,0.9502762430939227,75,34.85658914728682,8,6,1
hybrid,21,0.9559055118110236,51,25.469522240527183,11,3,1
hybrid,22,0.9705882352941176,39,20.50980392156863,6,8,1
hybrid,23,0.9632,67,27.099667774086377,9,6,1
hybrid,24,0.9537223340040242,44,21.0042194092827,10,5,1
hybrid,25,0.9444444444444444,65,31.330449826989618,9,5,1
hybrid,26,0.9764492753623188,45,30.556586270871986,7,7,1
hybrid,27,0.9558573853989814,52,32.81172291296625,10,5,1
hybrid,28,0.9774193548387097,73,39.64026402640264,11,3,1
hybrid,29,0.9620853080568721,65,38.77832512315271,10,5,1
hybrid,30,0.9549393414211439,42,28.814882032667878,8,7,1
hybrid,31,0.981203007518797,60,27.419540229885058,10,4,1
hybrid,32,0.022774327122153208,5,3.272727272727273,9,6,1
hybrid,33,0.9560067681895094,58,29.961061946902653,10,5,1
hybrid,34,0.007936507936507936,3,1.5,9,6,1
hybrid,35,0.9652014652014652,57,32.07210626185958,9,5,1
hybrid,36,0.9583333333333334,51,23.49905482041588,9,6,1
hybrid,37,0.9280155642023347,51,22.28721174004193,11,4,1
hybrid,38,0.9383259911894273,38,18.586854460093896,7,8,1
hybrid,39,0.9914383561643836,56,26.03454231433506,10,4,1
hybrid,40,0.953125,59,25.207650273224044,8,7,1
hybrid,41,0.948943661971831,57,23.296846011131727,9,6,1
hybrid,42,0.9239130434782609,70,37.747058823529414,7,8,1
hybrid,43,0.014900662251655629,4,2.0,7,8,1
hybrid,44,0.01509433962264151,4,2.0,9,6,1
hybrid,45,0.9492753623188406,43,24.265267175572518,9,6,1
hybrid,46,0.91,64,23.82051282051282,9,5,1
hybrid,47,0.9909420289855072,49,25.577696526508227,8,7,1
hybrid,48,0.9545454545454546,48,21.77639751552795,8,7,1
hybrid,49,0.9717741935483871,49,29.134854771784234,9,5,1
hybrid,50,0.9135338345864662,57,27.0,12,2,1
hybrid,51,0.9691833590138675,78,47.950715421303656,11,4,1
hybrid,52,0.0223463687150838,6,3.0,8,7,1
hybrid,53,0.9603960396039604,66,32.19931271477663,9,5,1
hybrid,54,0.9617834394904459,69,35.38245033112583,12,3,1
hybrid,55,0.9680672268907563,54,20.63888888888889,10,4,1
hybrid,56,0.9629005059021922,63,26.509632224168126,10,5,1
hybrid,57,0.00641025641025641,3,1.5,10,4,1
hybrid,58,0.9559633027522936,55,23.149712092130518,9,6,1
hybrid,59,0.9628040057224606,91,49.71173848439822,9,6,1
hybrid,60,0.9667250437828371,76,45.333333333333336,9,5,1
hybrid,61,0.9458823529411765,40,18.48507462686567,6,8,1
hybrid,62,0.014545454545454545,7,3.5,10,4,1
hybrid,63,0.9682539682539683,75,33.4655737704918,8,7,1
hybrid,64,0.9442446043165468,66,39.74095238095238,6,8,1
hybrid,65,0.9864406779661017,69,28.742268041237114,10,4,1
hybrid,66,0.9793233082706767,56,29.618042226487525,10,4,1
hybrid,67,0.9717171717171718,57,25.045738045738045,7,7,1
hybrid,68,0.9669724770642202,45,21.25237191650854,10,5,1
hybrid,69,0.9565217391304348,43,30.341991341991342,6,8,1
hybrid,70,0.01971326164874552,5,3.272727272727273,9,6,1
hybrid,71,0.9317773788150808,56,28.416184971098264,10,5,1
hybrid,72,0.9615384615384616,40,21.28,7,7,1
hybrid,73,0.9456342668863262,64,38.91637630662021,8,6,1
hybrid,74,0.9196850393700787,68,43.51541095890411,11,4,1
hybrid,75,0.908411214953271,43,21.901234567901234,11,4,1
hybrid,76,0.9247104247104247,46,21.430062630480165,8,7,1
hybrid,77,0.9712230215827338,50,21.492592592592594,9,5,1
hybrid,78,0.001949317738791423,0,0.0,7,8,1
hybrid,79,0.9406528189910979,58,29.20504731861199,8,7,1
hybrid,80,0.958904109589041,55,22.17142857142857,7,8,1
hybrid,81,0.9266917293233082,58,28.056795131845842,7,8,1
hybrid,82,0.9466463414634146,81,41.2157809983897,10,5,1
hybrid,83,0.015384615384615385,7,3.5,10,4,1
hybrid,84,0.9541446208112875,68,42.49907578558226,9,5,1
hybrid,85,0.9788732394366197,67,36.57913669064748,9,6,1
hybrid,86,0.9634146341463414,54,23.87552742616034,9,6,1
hybrid,87,0.9644194756554307,52,22.17864077669903,11,3,1
hybrid,88,0.9437386569872959,56,21.498076923076923,11,3,1
hybrid,89,0.9595782073813708,66,38.959706959706956,10,5,1
hybrid,90,0.8872305140961857,51,20.699065420560746,10,5,1
hybrid,91,0.9636015325670498,43,24.061630218687874,9,5,1
hybrid,92,0.9203354297693921,44,19.273348519362187,10,4,1
hybrid,93,0.9340659340659341,55,23.83921568627451,8,7,1
hybrid,94,0.007366482504604052,3,1.5,10,4,1
hybrid,95,0.9577464788732394,61,32.61764705882353,11,4,1
hybrid,96,0.9576547231270358,47,22.17687074829932,10,4,1
hybrid,97,0.9716024340770791,57,24.1419624217119,8,6,1
hybrid,98,0.9830795262267343,74,29.72117039586919,12,3,1
hybrid,99,0.9574468085106383,44,20.503703703703703,8,7,1
